  j        y/delta             y+          u_rms          v_rms          w_rms    omega_x_rms    omega_y_rms    omega_z_rms          p_rms
 96   0.287132E+00   0.184494E+03   0.160102E+01   0.987521E+00   0.117010E+01   0.628999E-01   0.577274E-01   0.573191E-01   0.192860E+01
 97   0.292893E+00   0.188196E+03   0.159364E+01   0.984560E+00   0.116545E+01   0.621538E-01   0.570403E-01   0.566447E-01   0.191478E+01
 98   0.298702E+00   0.191928E+03   0.158627E+01   0.981529E+00   0.116078E+01   0.614152E-01   0.563656E-01   0.559835E-01   0.190102E+01
 99   0.304557E+00   0.195690E+03   0.157891E+01   0.978431E+00   0.115608E+01   0.606855E-01   0.557028E-01   0.553310E-01   0.188732E+01
100   0.310459E+00   0.199483E+03   0.157154E+01   0.975267E+00   0.115133E+01   0.599750E-01   0.550524E-01   0.546840E-01   0.187366E+01
101   0.316408E+00   0.203305E+03   0.156414E+01   0.972043E+00   0.114650E+01   0.592797E-01   0.544144E-01   0.540408E-01   0.186006E+01
102   0.322402E+00   0.207156E+03   0.155667E+01   0.968760E+00   0.114158E+01   0.585980E-01   0.537886E-01   0.534063E-01   0.184652E+01
103   0.328441E+00   0.211036E+03   0.154911E+01   0.965424E+00   0.113657E+01   0.579335E-01   0.531744E-01   0.527863E-01   0.183306E+01
104   0.334525E+00   0.214946E+03   0.154145E+01   0.962035E+00   0.113148E+01   0.572785E-01   0.525705E-01   0.521779E-01   0.181966E+01
105   0.340654E+00   0.218884E+03   0.153370E+01   0.958591E+00   0.112632E+01   0.566328E-01   0.519763E-01   0.515806E-01   0.180631E+01
106   0.346827E+00   0.222850E+03   0.152587E+01   0.955092E+00   0.112111E+01   0.559968E-01   0.513913E-01   0.509948E-01   0.179296E+01
107   0.353044E+00   0.226845E+03   0.151797E+01   0.951534E+00   0.111587E+01   0.553595E-01   0.508150E-01   0.504197E-01   0.177960E+01
108   0.359304E+00   0.230867E+03   0.150998E+01   0.947919E+00   0.111062E+01   0.547282E-01   0.502476E-01   0.498548E-01   0.176624E+01
109   0.365607E+00   0.234917E+03   0.150190E+01   0.944246E+00   0.110535E+01   0.541112E-01   0.496893E-01   0.492973E-01   0.175290E+01
110   0.371952E+00   0.238994E+03   0.149374E+01   0.940518E+00   0.110005E+01   0.534994E-01   0.491395E-01   0.487436E-01   0.173959E+01
111   0.378339E+00   0.243098E+03   0.148551E+01   0.936737E+00   0.109470E+01   0.528968E-01   0.485979E-01   0.481977E-01   0.172633E+01
112   0.384768E+00   0.247229E+03   0.147721E+01   0.932905E+00   0.108929E+01   0.523094E-01   0.480641E-01   0.476601E-01   0.171312E+01
113   0.391239E+00   0.251386E+03   0.146884E+01   0.929023E+00   0.108379E+01   0.517308E-01   0.475368E-01   0.471313E-01   0.169993E+01
114   0.397749E+00   0.255570E+03   0.146041E+01   0.925093E+00   0.107822E+01   0.511661E-01   0.470159E-01   0.466110E-01   0.168677E+01
115   0.404301E+00   0.259779E+03   0.145190E+01   0.921117E+00   0.107257E+01   0.506172E-01   0.465012E-01   0.460988E-01   0.167360E+01
116   0.410892E+00   0.264014E+03   0.144332E+01   0.917096E+00   0.106686E+01   0.500687E-01   0.459922E-01   0.455984E-01   0.166041E+01
117   0.417522E+00   0.268275E+03   0.143468E+01   0.913027E+00   0.106108E+01   0.495230E-01   0.454890E-01   0.451074E-01   0.164720E+01
118   0.424192E+00   0.272560E+03   0.142600E+01   0.908908E+00   0.105524E+01   0.489818E-01   0.449914E-01   0.446224E-01   0.163392E+01
119   0.430900E+00   0.276870E+03   0.141729E+01   0.904735E+00   0.104934E+01   0.484407E-01   0.444987E-01   0.441426E-01   0.162056E+01
120   0.437646E+00   0.281205E+03   0.140857E+01   0.900507E+00   0.104338E+01   0.479100E-01   0.440109E-01   0.436684E-01   0.160712E+01
121   0.444430E+00   0.285564E+03   0.139986E+01   0.896223E+00   0.103737E+01   0.473866E-01   0.435286E-01   0.432009E-01   0.159358E+01
122   0.451251E+00   0.289947E+03   0.139117E+01   0.891883E+00   0.103132E+01   0.468581E-01   0.430517E-01   0.427347E-01   0.157995E+01
123   0.458108E+00   0.294353E+03   0.138250E+01   0.887491E+00   0.102521E+01   0.463322E-01   0.425803E-01   0.422655E-01   0.156626E+01
124   0.465002E+00   0.298783E+03   0.137386E+01   0.883055E+00   0.101906E+01   0.458099E-01   0.421143E-01   0.417986E-01   0.155252E+01
125   0.471932E+00   0.303235E+03   0.136522E+01   0.878586E+00   0.101287E+01   0.452884E-01   0.416526E-01   0.413362E-01   0.153876E+01
126   0.478897E+00   0.307711E+03   0.135657E+01   0.874095E+00   0.100664E+01   0.447805E-01   0.411953E-01   0.408776E-01   0.152501E+01
127   0.485897E+00   0.312208E+03   0.134789E+01   0.869588E+00   0.100036E+01   0.442848E-01   0.407420E-01   0.404209E-01   0.151126E+01
128   0.492932E+00   0.316728E+03   0.133918E+01   0.865068E+00   0.994048E+00   0.437924E-01   0.402929E-01   0.399711E-01   0.149751E+01
129   0.500000E+00   0.321270E+03   0.133043E+01   0.860532E+00   0.987710E+00   0.433067E-01   0.398482E-01   0.395334E-01   0.148374E+01
130   0.507102E+00   0.325833E+03   0.132166E+01   0.855978E+00   0.981341E+00   0.428193E-01   0.394073E-01   0.391023E-01   0.146991E+01
131   0.514237E+00   0.330418E+03   0.131288E+01   0.851401E+00   0.974927E+00   0.423282E-01   0.389700E-01   0.386739E-01   0.145602E+01
132   0.521404E+00   0.335023E+03   0.130408E+01   0.846797E+00   0.968456E+00   0.418461E-01   0.385366E-01   0.382516E-01   0.144206E+01
133   0.528603E+00   0.339649E+03   0.129526E+01   0.842164E+00   0.961929E+00   0.413669E-01   0.381071E-01   0.378349E-01   0.142803E+01
134   0.535834E+00   0.344295E+03   0.128641E+01   0.837503E+00   0.955345E+00   0.408871E-01   0.376810E-01   0.374174E-01   0.141394E+01
